title,budget,revenue,profit
We Own the Night,21000000,54926886,33926886
Defendor,3500000,44462,-3455538
The Best of Me,26000000,35926213,9926213
Thor,150000000,449326618,299326618
The Last Airbender,150000000,319713881,169713881
The Princess and the Frog,105000000,270997378,165997378
"4 luni, 3 săptămîni și 2 zile",852510,1185783,333273
Bedtime Stories,80000000,212874864,132874864
Message in a Bottle,80000000,118880016,38880016
Muppets from Space,24000000,22300000,-1700000
The Wedding Planner,35000000,94728529,59728529
Time to Choose,3500000,0,-3500000
Hidalgo,100000000,108103450,8103450
Epic,100000000,268426634,168426634
Mr. Deeds,50000000,171269535,121269535
Hostage,52000000,77944725,25944725
Snow Falling on Cedars,35000000,0,-35000000
Summer Catch,34000000,19693891,-14306109
Haute tension,0,6291958,6291958
The Lake House,40000000,114830111,74830111
The Losers,25000000,23580000,-1420000
"I, Robot",120000000,347234916,227234916
The Station Agent,500000,8679814,8179814
디 워,32000000,75108998,43108998
Ratatouille,150000000,623726000,473726000
Silent House,2000000,13101672,11101672
Birthday Girl,13000000,0,-13000000
Romeo Must Die,25000000,91036760,66036760
Summer of Sam,22000000,19288130,-2711870
Aberdeen,0,0,0
Fido,8000000,426224,-7573776
Frat Party,0,0,0
This Is Where I Leave You,19800000,41296320,21496320
Payback,90000000,161626121,71626121
Womb,3100000,0,-3100000
Ghostbusters,144000000,229147509,85147509
Final Fantasy: The Spirits Within,137000000,85131830,-51868170
Stigmata,29000000,50041732,21041732
Gamer,50000000,40828540,-9171460
She's All That,10000000,103166989,93166989
The Ides of March,12500000,76338111,63838111
The Ring Two,50000000,161451538,111451538
Gunless,10000000,0,-10000000
My Baby's Daddy,12000000,18490423,6490423
Freaky Friday,26000000,110230332,84230332
Drive Hard,12000000,0,-12000000
The Cry of the Owl,11500000,0,-11500000
Zoolander 2,50000000,55969000,5969000
Reindeer Games,42000000,32168970,-9831030
Two Lovers,9800000,16303643,6503643
The Glass House,30000000,23619609,-6380391
"Food, Inc.",0,0,0
Lost Souls,50000000,31355910,-18644090
The Young and Prodigious T.S. Spivet,33000000,9494789,-23505211
The Limey,10000000,3193102,-6806898
Death at a Funeral,9,8,-1
A Most Wanted Man,15000000,31554855,16554855
Angela's Ashes,50000000,13042112,-36957888
Double Jeopardy,70000000,177841558,107841558
16 Blocks,55000000,65664721,10664721
Deuce Bigalow: Male Gigolo,17000000,65535067,48535067
Aimee & Jaguar,0,0,0
Brigham City,1000000,852206,-147794
What Planet Are You From?,60000000,0,-60000000
"Lovely, Still",0,0,0
No Man's Land: The Rise of Reeker,2000000,0,-2000000
Friday After Next,20000000,33526835,13526835
Rocket Singh: Salesman of the Year,1250000,0,-1250000
War,25000000,40452643,15452643
A Dog's Breakfast,120000,0,-120000
Unfaithful,50000000,119137784,69137784
Eastern Promises,51500000,56106607,4606607
Chicago Overcoat,3200000,0,-3200000
Bachelorette,3000000,11947954,8947954
Beasts of the Southern Wild,1800000,21107746,19307746
Show Me,0,0,0
B-Girl,0,0,0
28 Days,43000000,6219894,-36780106
Down to You,9000000,0,-9000000
"For a Good Time, Call...",850000,1243961,393961
Date Night,55000000,152263880,97263880
Cold Mountain,79000000,173013509,94013509
102 Dalmatians,85000000,183611771,98611771
Foodfight!,65000000,73706,-64926294
Jay and Silent Bob Strike Back,22000000,33788161,11788161
Shame,6500000,3909002,-2590998
Drop Dead Gorgeous,10000000,10571408,571408
Bats,0,10155690,10155690
Inkheart,60000000,62803180,2803180
In the Name of the King: A Dungeon Siege Tale,60000000,0,-60000000
The Sound and the Shadow,0,0,0
Bending Steel,0,0,0
Madagascar: Escape 2 Africa,150000000,603900354,453900354
Sherlock Holmes,90000000,524028679,434028679
Mercy Streets,600000,173599,-426401
ராமானுஜன்,0,0,0
Fast Five,125000000,626137675,501137675
L.I.E.,700000,1667192,967192
The Lizzie McGuire Movie,17000000,55534455,38534455
Reign Over Me,20000000,22222308,2222308
The DUFF,8500000,43528634,35028634
Sicko,9000000,24538513,15538513
The Call,13000000,68572378,55572378
Shark Tale,75000000,367275019,292275019
Frequency,31000000,68106245,37106245
The Purge,3000000,89328627,86328627
Small Time Crooks,0,0,0
Boys and Girls,16000000,20627372,4627372
Love & Other Drugs,30000000,102820008,72820008
Horrible Bosses,35000000,209838559,174838559
After the Sunset,60000000,61347797,1347797
We Were Soldiers,75000000,114660784,39660784
The Girl Next Door,21000000,31635150,10635150
Hart's War,70000000,32287044,-37712956
Robot & Frank,2500000,3325038,825038
The Medallion,41000000,0,-41000000
Highway,14000000,0,-14000000
Cradle 2 the Grave,25000000,56489558,31489558
Wordplay,0,0,0
Mean Girls,17000000,129042871,112042871
The Expendables 2,100000000,314975955,214975955
Prom,8000000,10130000,2130000
Veronica Guerin,17000000,9439660,-7560340
Your Sister's Sister,125000,3242802,3117802
Double Take,24000000,31600000,7600000
Remember the Titans,30000000,136706683,106706683
The Sorcerer's Apprentice,150000000,215283742,65283742
Saint John of Las Vegas,3800000,111731,-3688269
The Missing Person,0,17896,17896
The Chronicles of Narnia: Prince Caspian,225000000,419665568,194665568
The White Countess,0,0,0
The Lost Skeleton of Cadavra,0,0,0
Beneath Hill 60,7347125,0,-7347125
H.,0,0,0
Bernie,5000000,9206470,4206470
Eragon,100000000,249288105,149288105
The Bourne Ultimatum,70000000,442824138,372824138
Glitter,22000000,5271666,-16728334
The Homesman,16000000,3442853,-12557147
The Squid and the Whale,1500000,11098131,9598131
Ex Machina,15000000,36869414,21869414
Envy,40000000,0,-40000000
Looney Tunes: Back in Action,80000000,68514844,-11485156
Torque,40000000,46546197,6546197
Blood Ties,25500000,2415472,-23084528
Spanglish,80000000,55041367,-24958633
The Alamo,145000000,25819961,-119180039
What a Girl Wants,20000000,50732139,30732139
Anything Else,0,0,0
Confidence,15000000,23014206,8014206
White House Down,150000000,205366737,55366737
The Haunted Mansion,90000000,182290266,92290266
Waitress,1500000,22240529,20740529
The Aviator,110000000,213700000,103700000
Sydney White,16500000,13620075,-2879925
Quantum of Solace,200000000,589580482,389580482
Olympus Has Fallen,70000000,161025640,91025640
The Tuxedo,60000000,104391623,44391623
Mrs Henderson Presents,0,0,0
Fantastic Four,120000000,167977596,47977596
The One,49000000,72689126,23689126
Mad Max: Fury Road,150000000,378858340,228858340
Dr. Dolittle 2,70000000,176104344,106104344
Safe House,85000000,208076205,123076205
Promised Land,15000000,8138788,-6861212
Our Idiot Brother,5000000,24816118,19816118
Inception,160000000,825532764,665532764
The Mothman Prophecies,32000000,55305279,23305279
Legends of Oz: Dorothy's Return,70000000,18662027,-51337973
Focus,50100000,153962963,103862963
A Fine Step,0,0,0
Two Weeks Notice,60000000,199043242,139043242
Hard Candy,950000,7022209,6072209
What Lies Beneath,100000000,291420351,191420351
House of 1000 Corpses,7000000,17949758,10949758
Without Men,4,0,-4
The Helix... Loaded,0,0,0
Just Looking,3000000,0,-3000000
Joy Ride,23000000,36642838,13642838
One Day,15000000,59389433,44389433
Quills,13500000,7060876,-6439124
Dying of the Light,15000000,0,-15000000
Saving Silverman,22000000,19351569,-2648431
Johnson Family Vacation,12000000,31179516,19179516
May,500000,150277,-349723
All Hat,0,0,0
Agent Cody Banks,28000000,58795814,30795814
Carrie,30000000,82394288,52394288
La fleur du mal,0,0,0
15 Minutes,60000000,56359980,-3640020
In the Cut,12000000,23726793,11726793
สุริโยไท,0,0,0
I Am Sam,22000000,92542418,70542418
The Three Stooges,30000000,54819301,24819301
The Dictator,65000000,179379533,114379533
The Crew,0,0,0
The Real Cancun,7500000,5345083,-2154917
American Splendor,0,6003587,6003587
Session 9,1500000,373967,-1126033
Fabled,0,0,0
Treading Water,4700000,0,-4700000
Pitch Black,23000000,53187659,30187659
Wicked Blood,3500000,0,-3500000
The Chronicles of Riddick,105000000,115772733,10772733
Valentine,10000000,16300000,6300000
The Hebrew Hammer,1000000,0,-1000000
Wonder Boys,35000000,0,-35000000
Cheaper by the Dozen,40000000,190212113,150212113
Secretary,4000000,9304609,5304609
Scooby-Doo 2: Monsters Unleashed,0,181466833,181466833
Salvation Boulevard,5500000,89182,-5410818
Les Invasions barbares,8000000,3432342,-4567658
Stake Land,650000,33245,-616755
Sugar Town,0,0,0
Coriolanus,7700000,1072602,-6627398
Away We Go,17000000,15779455,-1220545
3 Backyards,0,0,0
Foolish,0,6033999,6033999
Whatever Works,15000000,36020534,21020534
Plush,0,0,0
The Animal,22000000,84772742,62772742
The Astronaut's Wife,75000000,19598588,-55401412
House of Sand and Fog,16500000,16942795,442795
Cedar Rapids,0,6861102,6861102
This Is the End,32000000,126041322,94041322
Why Did I Get Married Too?,20000000,60072596,40072596
Battle of the Year,20000000,16549477,-3450523
Pompeii,100000000,117831631,17831631
Letters to God,3000000,0,-3000000
Grown Ups 2,80000000,247022278,167022278
Side Effects,30000000,63372757,33372757
Don McKay,0,0,0
Captain Phillips,55000000,218791811,163791811
Juwanna Mann,15600000,0,-15600000
Saving Face,0,0,0
Los insólitos peces gato,1300000,0,-1300000
Ladder 49,60000000,74541707,14541707
Human Traffic,600000,4000000,3400000
Restoration,0,0,0
Laws of Attraction,28000000,30016165,2016165
Cloudy with a Chance of Meatballs 2,78000000,248384621,170384621
Into the Woods,50000000,212902372,162902372
License to Wed,35000000,69307224,34307224
Hansel & Gretel: Witch Hunters,50000000,226349749,176349749
It's Kind of a Funny Story,8000000,6491240,-1508760
Moneyball,50000000,110206216,60206216
The Conspirator,25000000,15478800,-9521200
The Water Diviner,22500000,15520023,-6979977
Katy Perry: Part of Me,12000000,32726956,20726956
Banshee Chapter,950000,0,-950000
My Soul to Take,25000000,19829957,-5170043
We Are Marshall,65000000,43545364,-21454636
Christmas Mail,0,0,0
Music and Lyrics,40000000,145896422,105896422
Josie and the Pussycats,22000000,0,-22000000
Freakonomics,3000000,103735,-2896265
I Spit on Your Grave,2000000,572809,-1427191
Flipped,14000000,1755212,-12244788
Extraordinary Measures,31000000,15134293,-15865707
Salt,110000000,293329073,183329073
The Expendables,80000000,274470394,194470394
Touching the Void,0,13885802,13885802
The American,20000000,65464324,45464324
The Mechanic,40000000,51070807,11070807
Wild Hogs,0,253625427,253625427
Rabbit Hole,5000000,5132850,132850
Little Boy,20000000,6485961,-13514039
Forget Me Not,1300000,0,-1300000
1408,25000000,132963417,107963417
Fifty Shades of Grey,40000000,571006128,531006128
Resident Evil: Afterlife,60000000,300228084,240228084
Jupiter Ascending,176000003,183987723,7987720
金陵十三釵,94000000,95311434,1311434
Ночной дозор,10000000,50336279,40336279
Another Year,8000000,18124262,10124262
Rotor DR1,350000,0,-350000
Hellboy II: The Golden Army,85000000,160388063,75388063
Wild Card,30000000,0,-30000000
The Yards,0,0,0
Circumstance,0,0,0
Another Happy Day,4000000,355688,-3644312
Inside Out,175000000,857611174,682611174
By the Sea,10000000,3727746,-6272254
Escape from Tomorrow,650,0,-650
Hearts in Atlantis,31000000,24185781,-6814219
剑雨,12000000,0,-12000000
Bad Company,70000000,65977295,-4022705
Point Break,105000000,133718711,28718711
Get Hard,40000000,111811453,71811453
Detention,10000000,0,-10000000
The Count of Monte Cristo,35000000,75395048,40395048
Bandits,75000000,67631903,-7368097
Miss March,6000000,4591629,-1408371
Lucky Break,0,0,0
The Score,68000000,113579918,45579918
Hollywood Homicide,75000000,51142659,-23857341
Iron Man 3,200000000,1214811252,1014811252
Wild Target,8000000,3453043,-4546957
Trance,20000000,24261569,4261569
Oz the Great and Powerful,200000000,491868548,291868548
Argo,44500000,232325503,187825503
Warcraft,160000000,433677183,273677183
G-Force,150000000,292817841,142817841
Tomorrowland,190000000,209154322,19154322
Not Another Teen Movie,16000000,66468332,50468332
The New World,30000000,30536013,536013
Driving Lessons,0,0,0
Halloween: Resurrection,13000000,37664855,24664855
Black Swan,13000000,329398046,316398046
Counting,50000,0,-50000
The Intern,35000000,194564672,159564672
Herbie Fully Loaded,50000000,66002004,16002004
Cheap Thrills,200000,0,-200000
Domestic Disturbance,75000000,54249294,-20750706
Life as a House,18000000,0,-18000000
People I Know,20000000,0,-20000000
Sky High,35000000,86369815,51369815
Red Eye,26000000,57891803,31891803
The Salton Sea,18000000,676698,-17323302
The Work and the Glory,7500000,3347647,-4152353
The In Crowd,15000000,5217498,-9782502
Into the Storm,50000000,160602194,110602194
"Good Night, and Good Luck.",7000000,54600000,47600000
Blended,40000000,127994610,87994610
The Lunchbox,3400000,17240000,13840000
Lake of Fire,0,25,25
When the Game Stands Tall,15000000,30127963,15127963
True Grit,38000000,252276927,214276927
纽约客@上海,0,0,0
Imagine That,55000000,0,-55000000
Micmacs à tire-larigot,33000000,14000000,-19000000
High Crimes,42000000,63781810,21781810
Pixels,88000000,243637091,155637091
The Visit,5000000,98450062,93450062
Stir of Echoes,12000000,21133087,9133087
Underclassman,0,0,0
The Life of David Gale,50000000,38955598,-11044402
The Haunting,80000000,91188905,11188905
Flushed Away,149000000,178120010,29120010
Vanity Fair,23000000,16123851,-6876149
Are We There Yet?,32000000,97918663,65918663
Guess Who,35000000,68915888,33915888
ParaNorman,60000000,107139399,47139399
Must Love Dogs,30000000,58405313,28405313
Kiss the Bride,500000,0,-500000
Joyeux Noël,22000000,17709155,-4290845
Dirty Pretty Things,0,0,0
Get Smart,80000000,230685453,150685453
City Island,6000000,7875862,1875862
Land of the Dead,15000000,46770602,31770602
Baggage Claim,8500000,22456509,13956509
The Adventures of Pluto Nash,100000000,7103973,-92896027
A Scanner Darkly,8700000,7659918,-1040082
Black Nativity,17500000,7018189,-10481811
Daybreakers,20000000,51416464,31416464
"The Goods: Live Hard, Sell Hard",10000000,0,-10000000
Zombieland,23600000,102391540,78791540
The Birth of a Nation,8500000,15861566,7361566
U-571,62000000,127666415,65666415
Stonewall,13500000,187674,-13312326
Horse Camp,0,0,0
Surrogates,80000000,122444772,42444772
Intolerable Cruelty,60000000,119940815,59940815
The Number 23,30000000,77566815,47566815
An American in Hollywood,0,0,0
Hachi: A Dog's Tale,16000000,46749646,30749646
This Is England,2380000,8176544,5796544
Jennifer's Body,16000000,31556061,15556061
Avatar,237000000,2847246203,2610246203
White Noise,10000000,91196419,81196419
The Sweetest Thing,43000000,68696770,25696770
Bulletproof Monk,52000000,37713879,-14286121
Wimbledon,31000000,41512007,10512007
Sexy Beast,5000000,0,-5000000
Girl with a Pearl Earring,0,31466789,31466789
The Losers,25000000,23580000,-1420000
"I, Robot",120000000,347234916,227234916
The Station Agent,500000,8679814,8179814
디 워,32000000,75108998,43108998
Ratatouille,150000000,623726000,473726000
Silent House,2000000,13101672,11101672
Birthday Girl,13000000,0,-13000000
Romeo Must Die,25000000,91036760,66036760
Summer of Sam,22000000,19288130,-2711870
Aberdeen,0,0,0
Fido,8000000,426224,-7573776
Frat Party,0,0,0
This Is Where I Leave You,19800000,41296320,21496320
Payback,90000000,161626121,71626121
Womb,3100000,0,-3100000
Ghostbusters,144000000,229147509,85147509
Final Fantasy: The Spirits Within,137000000,85131830,-51868170
Stigmata,29000000,50041732,21041732
Gamer,50000000,40828540,-9171460
She's All That,10000000,103166989,93166989
The Ides of March,12500000,76338111,63838111
The Ring Two,50000000,161451538,111451538
Gunless,10000000,0,-10000000
My Baby's Daddy,12000000,18490423,6490423
Freaky Friday,26000000,110230332,84230332
Drive Hard,12000000,0,-12000000
The Cry of the Owl,11500000,0,-11500000
Zoolander 2,50000000,55969000,5969000
Reindeer Games,42000000,32168970,-9831030
Two Lovers,9800000,16303643,6503643
The Glass House,30000000,23619609,-6380391
"Food, Inc.",0,0,0
Lost Souls,50000000,31355910,-18644090
The Young and Prodigious T.S. Spivet,33000000,9494789,-23505211
The Limey,10000000,3193102,-6806898
Death at a Funeral,9,8,-1
A Most Wanted Man,15000000,31554855,16554855
Angela's Ashes,50000000,13042112,-36957888
Double Jeopardy,70000000,177841558,107841558
16 Blocks,55000000,65664721,10664721
Deuce Bigalow: Male Gigolo,17000000,65535067,48535067
Aimee & Jaguar,0,0,0
Brigham City,1000000,852206,-147794
What Planet Are You From?,60000000,0,-60000000
"Lovely, Still",0,0,0
No Man's Land: The Rise of Reeker,2000000,0,-2000000
Friday After Next,20000000,33526835,13526835
Rocket Singh: Salesman of the Year,1250000,0,-1250000
War,25000000,40452643,15452643
A Dog's Breakfast,120000,0,-120000
Unfaithful,50000000,119137784,69137784
Eastern Promises,51500000,56106607,4606607
Chicago Overcoat,3200000,0,-3200000
Bachelorette,3000000,11947954,8947954
Beasts of the Southern Wild,1800000,21107746,19307746
Show Me,0,0,0
B-Girl,0,0,0
28 Days,43000000,6219894,-36780106
Down to You,9000000,0,-9000000
"For a Good Time, Call...",850000,1243961,393961
Date Night,55000000,152263880,97263880
Cold Mountain,79000000,173013509,94013509
102 Dalmatians,85000000,183611771,98611771
Foodfight!,65000000,73706,-64926294
Jay and Silent Bob Strike Back,22000000,33788161,11788161
Shame,6500000,3909002,-2590998
Drop Dead Gorgeous,10000000,10571408,571408
Bats,0,10155690,10155690
Inkheart,60000000,62803180,2803180
In the Name of the King: A Dungeon Siege Tale,60000000,0,-60000000
The Sound and the Shadow,0,0,0
Bending Steel,0,0,0
Madagascar: Escape 2 Africa,150000000,603900354,453900354
Sherlock Holmes,90000000,524028679,434028679
Mercy Streets,600000,173599,-426401
ராமானுஜன்,0,0,0
Fast Five,125000000,626137675,501137675
L.I.E.,700000,1667192,967192
The Lizzie McGuire Movie,17000000,55534455,38534455
Reign Over Me,20000000,22222308,2222308
The DUFF,8500000,43528634,35028634
Sicko,9000000,24538513,15538513
The Call,13000000,68572378,55572378
Shark Tale,75000000,367275019,292275019
Frequency,31000000,68106245,37106245
The Purge,3000000,89328627,86328627
Small Time Crooks,0,0,0
Boys and Girls,16000000,20627372,4627372
Love & Other Drugs,30000000,102820008,72820008
Horrible Bosses,35000000,209838559,174838559
After the Sunset,60000000,61347797,1347797
We Were Soldiers,75000000,114660784,39660784
The Girl Next Door,21000000,31635150,10635150
Hart's War,70000000,32287044,-37712956
Robot & Frank,2500000,3325038,825038
The Medallion,41000000,0,-41000000
Highway,14000000,0,-14000000
Cradle 2 the Grave,25000000,56489558,31489558
Wordplay,0,0,0
Mean Girls,17000000,129042871,112042871
The Expendables 2,100000000,314975955,214975955
Prom,8000000,10130000,2130000
Veronica Guerin,17000000,9439660,-7560340
Your Sister's Sister,125000,3242802,3117802
Double Take,24000000,31600000,7600000
Remember the Titans,30000000,136706683,106706683
The Sorcerer's Apprentice,150000000,215283742,65283742
Saint John of Las Vegas,3800000,111731,-3688269
The Missing Person,0,17896,17896
The Chronicles of Narnia: Prince Caspian,225000000,419665568,194665568
The White Countess,0,0,0
The Lost Skeleton of Cadavra,0,0,0
Beneath Hill 60,7347125,0,-7347125
H.,0,0,0
Bernie,5000000,9206470,4206470
Eragon,100000000,249288105,149288105
The Bourne Ultimatum,70000000,442824138,372824138
Glitter,22000000,5271666,-16728334
The Homesman,16000000,3442853,-12557147
The Squid and the Whale,1500000,11098131,9598131
Ex Machina,15000000,36869414,21869414
Envy,40000000,0,-40000000
Looney Tunes: Back in Action,80000000,68514844,-11485156
Torque,40000000,46546197,6546197
Blood Ties,25500000,2415472,-23084528
Spanglish,80000000,55041367,-24958633
The Alamo,145000000,25819961,-119180039
What a Girl Wants,20000000,50732139,30732139
Anything Else,0,0,0
Confidence,15000000,23014206,8014206
White House Down,150000000,205366737,55366737
The Haunted Mansion,90000000,182290266,92290266
Waitress,1500000,22240529,20740529
The Aviator,110000000,213700000,103700000
Sydney White,16500000,13620075,-2879925
Quantum of Solace,200000000,589580482,389580482
Olympus Has Fallen,70000000,161025640,91025640
The Tuxedo,60000000,104391623,44391623
Mrs Henderson Presents,0,0,0
Fantastic Four,120000000,167977596,47977596
The One,49000000,72689126,23689126
Mad Max: Fury Road,150000000,378858340,228858340
Dr. Dolittle 2,70000000,176104344,106104344
Safe House,85000000,208076205,123076205
Promised Land,15000000,8138788,-6861212
Our Idiot Brother,5000000,24816118,19816118
Inception,160000000,825532764,665532764
The Mothman Prophecies,32000000,55305279,23305279
Legends of Oz: Dorothy's Return,70000000,18662027,-51337973
Focus,50100000,153962963,103862963
A Fine Step,0,0,0
Two Weeks Notice,60000000,199043242,139043242
Hard Candy,950000,7022209,6072209
What Lies Beneath,100000000,291420351,191420351
House of 1000 Corpses,7000000,17949758,10949758
Without Men,4,0,-4
The Helix... Loaded,0,0,0
Just Looking,3000000,0,-3000000
Joy Ride,23000000,36642838,13642838
One Day,15000000,59389433,44389433
Quills,13500000,7060876,-6439124
Dying of the Light,15000000,0,-15000000
Saving Silverman,22000000,19351569,-2648431
Johnson Family Vacation,12000000,31179516,19179516
May,500000,150277,-349723
All Hat,0,0,0
Agent Cody Banks,28000000,58795814,30795814
Carrie,30000000,82394288,52394288
La fleur du mal,0,0,0
15 Minutes,60000000,56359980,-3640020
In the Cut,12000000,23726793,11726793
สุริโยไท,0,0,0
I Am Sam,22000000,92542418,70542418
The Three Stooges,30000000,54819301,24819301
The Dictator,65000000,179379533,114379533
The Crew,0,0,0
The Real Cancun,7500000,5345083,-2154917
American Splendor,0,6003587,6003587
Session 9,1500000,373967,-1126033
Fabled,0,0,0
Treading Water,4700000,0,-4700000
Pitch Black,23000000,53187659,30187659
Wicked Blood,3500000,0,-3500000
The Chronicles of Riddick,105000000,115772733,10772733
Valentine,10000000,16300000,6300000
The Hebrew Hammer,1000000,0,-1000000
Wonder Boys,35000000,0,-35000000
Cheaper by the Dozen,40000000,190212113,150212113
Secretary,4000000,9304609,5304609
Scooby-Doo 2: Monsters Unleashed,0,181466833,181466833
Salvation Boulevard,5500000,89182,-5410818
Les Invasions barbares,8000000,3432342,-4567658
Stake Land,650000,33245,-616755
Sugar Town,0,0,0
Coriolanus,7700000,1072602,-6627398
Away We Go,17000000,15779455,-1220545
3 Backyards,0,0,0
Foolish,0,6033999,6033999
Whatever Works,15000000,36020534,21020534
Plush,0,0,0
The Animal,22000000,84772742,62772742
The Astronaut's Wife,75000000,19598588,-55401412
House of Sand and Fog,16500000,16942795,442795
Cedar Rapids,0,6861102,6861102
This Is the End,32000000,126041322,94041322
Why Did I Get Married Too?,20000000,60072596,40072596
Battle of the Year,20000000,16549477,-3450523
Pompeii,100000000,117831631,17831631
Letters to God,3000000,0,-3000000
Grown Ups 2,80000000,247022278,167022278
Side Effects,30000000,63372757,33372757
Don McKay,0,0,0
Captain Phillips,55000000,218791811,163791811
Juwanna Mann,15600000,0,-15600000
Saving Face,0,0,0
Los insólitos peces gato,1300000,0,-1300000
Ladder 49,60000000,74541707,14541707
Human Traffic,600000,4000000,3400000
Restoration,0,0,0
Laws of Attraction,28000000,30016165,2016165
Cloudy with a Chance of Meatballs 2,78000000,248384621,170384621
Into the Woods,50000000,212902372,162902372
License to Wed,35000000,69307224,34307224
Hansel & Gretel: Witch Hunters,50000000,226349749,176349749
It's Kind of a Funny Story,8000000,6491240,-1508760
Moneyball,50000000,110206216,60206216
